mode,strategy_id,strategy_name,player_count,win,loss_reason,turns,progress,safety,accident,hazards,redraws_used,completed_tasks,knowledge_count,avg_contribution,max_contribution,min_contribution
challenge,none,无策略,4,0,safety_zero,4,0,-1,3,5,1,0,4,0.25,2,-1
challenge,none,无策略,4,0,hazard_overflow,5,0,1,2,5,1,0,5,0.5,2,0
challenge,none,无策略,4,0,safety_zero,3,0,0,3,4,1,0,3,-0.25,1,-1
challenge,none,无策略,4,0,hazard_overflow,4,1,1,2,5,1,1,5,0,1,-1
challenge,none,无策略,4,0,safety_zero,7,4,0,3,2,1,4,6,2,4,1
challenge,none,无策略,4,0,hazard_overflow,4,1,5,0,5,1,1,4,1,2,0
challenge,none,无策略,4,0,safety_zero,7,2,0,3,4,1,2,7,1.25,2,0
challenge,none,无策略,4,0,accident_limit,4,1,4,4,3,1,1,4,0.25,2,-2
challenge,none,无策略,4,0,hazard_overflow,4,1,3,2,5,1,1,5,0.5,2,-1
challenge,none,无策略,4,0,progress_shortfall,8,5,5,1,3,1,5,7,2.75,4,2
challenge,none,无策略,4,0,progress_shortfall,8,2,2,0,1,1,2,7,2.75,4,2
challenge,none,无策略,4,0,safety_zero,4,1,0,2,2,1,1,4,1,2,-1
challenge,none,无策略,4,0,safety_zero,4,1,0,2,4,1,1,5,0.25,1,0
challenge,none,无策略,4,0,progress_shortfall,8,3,2,3,4,1,3,7,1.75,4,0
challenge,none,无策略,4,0,safety_zero,6,1,-3,3,3,1,0,7,0.75,2,-1
challenge,none,无策略,4,0,safety_zero,5,2,-2,5,4,1,2,6,0.5,2,-2
challenge,none,无策略,4,0,hazard_overflow,3,0,1,3,5,1,0,3,-0.5,0,-1
challenge,none,无策略,4,0,safety_zero,7,2,-4,4,3,1,2,8,0.75,2,-1
challenge,none,无策略,4,0,safety_zero,5,2,0,2,4,1,2,5,0.75,2,-1
challenge,none,无策略,4,0,safety_zero,4,1,0,3,4,1,1,4,0.5,2,-1
challenge,none,无策略,4,0,safety_zero,3,0,0,2,4,1,0,2,0,0,0
challenge,none,无策略,4,0,safety_zero,5,1,0,3,3,1,1,6,0.75,2,-1
challenge,none,无策略,4,0,safety_zero,6,2,0,2,4,1,1,6,0.75,2,0
challenge,none,无策略,4,0,progress_shortfall,8,4,4,2,1,1,4,8,2.25,4,1
challenge,none,无策略,4,0,progress_shortfall,8,3,5,2,3,1,3,8,2.25,4,0
challenge,none,无策略,4,0,safety_zero,5,1,0,3,4,1,1,6,1,2,0
challenge,none,无策略,4,0,safety_zero,7,3,-2,4,2,1,3,7,1,4,-2
challenge,none,无策略,4,0,safety_zero,4,1,-2,2,4,1,1,5,0.25,1,-1
challenge,none,无策略,4,0,accident_limit,5,2,1,4,3,1,2,5,0.5,1,-1
challenge,none,无策略,4,0,hazard_overflow,3,0,3,1,5,1,0,3,0,0,0
challenge,none,无策略,4,0,safety_zero,3,0,0,3,4,1,0,3,-0.25,0,-1
challenge,none,无策略,4,0,safety_zero,5,0,-2,5,5,1,0,5,0.25,2,-2
challenge,none,无策略,4,0,safety_zero,6,4,0,2,2,1,4,7,1.25,2,-1
challenge,none,无策略,4,0,safety_zero,7,4,0,2,2,1,4,8,1.75,4,-2
challenge,none,无策略,4,0,safety_zero,7,2,0,2,4,1,2,8,1,3,0
challenge,none,无策略,4,0,progress_shortfall,8,4,3,1,2,1,4,9,2.5,3,2
challenge,none,无策略,4,0,safety_zero,5,2,0,2,3,1,2,6,1.25,2,1
challenge,none,无策略,4,0,accident_limit,3,1,1,4,2,1,1,3,0,2,-1
challenge,none,无策略,4,0,safety_zero,8,4,0,2,1,1,3,8,1.5,4,0
challenge,none,无策略,4,0,hazard_overflow,4,1,4,2,5,1,1,5,0.75,2,-1
challenge,none,无策略,4,0,safety_zero,4,1,-1,4,4,1,1,5,0.25,2,-1
challenge,none,无策略,4,0,safety_zero,8,3,-3,4,5,1,3,7,2,4,-1
challenge,none,无策略,4,0,hazard_overflow,4,0,1,2,6,1,0,4,0.5,2,-1
challenge,none,无策略,4,0,safety_zero,4,0,-2,2,6,1,0,5,0,1,-1
challenge,none,无策略,4,0,safety_zero,4,0,-2,4,4,1,0,4,0.5,1,-1
challenge,none,无策略,4,0,hazard_overflow,3,0,5,1,5,1,0,3,0,1,-1
challenge,none,无策略,4,0,safety_zero,8,4,0,3,3,1,4,8,2,3,1
challenge,none,无策略,4,0,safety_zero,6,2,-4,3,5,1,2,6,0.5,2,-1
challenge,none,无策略,4,0,safety_zero,4,1,0,5,3,1,1,5,0.5,2,-1
challenge,none,无策略,4,0,safety_zero,4,1,0,4,1,1,1,4,1.25,2,0
challenge,none,无策略,4,0,accident_limit,3,1,1,4,2,1,1,3,0.25,2,-1
challenge,none,无策略,4,0,hazard_overflow,3,0,7,1,5,1,0,3,0.5,1,0
challenge,none,无策略,4,0,safety_zero,4,1,0,1,4,1,1,5,0.5,2,0
challenge,none,无策略,4,0,hazard_overflow,4,0,2,2,5,1,0,5,0.25,2,-1
challenge,none,无策略,4,0,safety_zero,6,2,-2,4,4,1,2,4,1.25,2,-1
challenge,none,无策略,4,0,progress_shortfall,8,4,4,1,1,1,4,7,2.5,4,1
challenge,none,无策略,4,0,safety_zero,7,1,-4,4,5,1,1,5,1.25,3,-1
challenge,none,无策略,4,0,safety_zero,6,2,-1,4,4,1,2,7,0.75,2,0
challenge,none,无策略,4,0,progress_shortfall,8,6,4,1,2,1,6,7,2.75,4,2
challenge,none,无策略,4,0,progress_shortfall,8,5,1,3,2,1,5,8,1.75,3,1
challenge,none,无策略,4,0,progress_shortfall,8,4,1,2,3,1,4,8,2.25,4,0
challenge,none,无策略,4,0,hazard_overflow,6,2,3,0,5,1,2,7,1.25,2,0
challenge,none,无策略,4,0,progress_shortfall,8,5,7,0,0,1,5,9,3.25,5,2
